,surface_type,liquid_type,diameter,height,fall_point_type,id,time,area,circumstance,circularity,finger_num,velocity,circle_radius
631,7,0,20,20,9,127,0.0254,7.94916e-06,0.0129190795369148,0.598505242028572,17.0,0.12,0.001596
632,7,0,20,20,9,128,0.0256,8.140968000000001e-06,0.0129423730459213,0.6107424184130216,13.0,0.06,0.001608
633,7,0,20,20,9,129,0.0258,8.304048000000002e-06,0.0131438146061897,0.6040277140570853,15.0,0.12,0.001632
634,7,0,20,20,9,131,0.0262,8.568216e-06,0.0145579020209312,0.5080455901942547,14.0,0.12,0.001668
635,7,0,20,40,9,91,0.0182,3.5029440000000003e-06,0.011004524605751,0.3634967120571524,7.0,0.0,0.00156
636,7,0,20,40,9,97,0.0194,2.9733120000000003e-06,0.0104641713666915,0.3412248575335775,8.0,-0.12,0.001236
637,7,0,20,40,9,98,0.0196,2.9507760000000004e-06,0.0117078466644287,0.2705154378980587,6.0,-0.42,0.001152
638,7,0,20,40,9,101,0.0202,3.021624e-06,0.0100275540561676,0.3776245855800773,6.0,-0.3,0.001344
639,7,0,20,40,9,102,0.0204,3.03264e-06,0.0100503479733467,0.3772841197931566,6.0,0.12,0.001368
640,7,0,20,40,9,103,0.0206,3.0316320000000004e-06,0.0102042891025543,0.3658649769957888,4.0,-0.06,0.001356
641,7,0,20,40,9,134,0.0268,9.856224e-06,0.0150178128361701,0.5491703154055099,10.0,-0.06,0.001764
642,7,0,20,40,9,139,0.0278,9.579744e-06,0.0150335773472785,0.5326465211205768,14.0,-0.06,0.00174
643,7,0,25,20,9,123,0.0246,4.985496000000001e-06,0.0100586691799163,0.6192088950895249,14.0,0.0,0.00126
644,7,0,25,20,9,124,0.0248,5.071464e-06,0.0102448457951545,0.6072008339696843,14.0,0.06,0.001272
645,7,0,25,20,9,125,0.025,5.144112000000001e-06,0.0103437574739456,0.604176210920479,11.0,0.06,0.001284
646,7,0,25,20,9,126,0.0252,5.202936000000001e-06,0.0103847280449867,0.6062728111597234,15.0,0.06,0.001296
647,7,0,25,20,9,127,0.0254,5.242104000000001e-06,0.0104227869172096,0.6063840628188816,15.0,0.0,0.001296
648,7,0,25,20,9,128,0.0256,5.267160000000001e-06,0.0104526102876663,0.605810585961422,15.0,0.0,0.001296
649,7,0,25,20,9,129,0.0258,5.281416e-06,0.0105486102976799,0.5964440963618939,13.0,0.0,0.001296
650,7,0,25,20,9,134,0.0268,5.328072000000001e-06,0.0109284925303459,0.5606081788042803,11.0,0.06,0.001308
651,7,0,25,40,9,92,0.0184,7.244928000000001e-06,0.0148515184607505,0.412764386423077,17.0,0.06,0.001524
652,7,0,25,40,9,116,0.0232,6.748200000000001e-06,0.0170630154190063,0.2912636201397424,14.0,0.06,0.001488
653,7,0,25,40,9,121,0.0242,6.5070000000000005e-06,0.0165398396401405,0.2989014911048129,14.0,6.720000000000001,0.001476
654,7,0,25,40,9,122,0.0244,6.495336000000001e-06,0.0138861946492195,0.4232968030498467,13.0,-0.12,0.001452
655,7,0,25,40,9,125,0.025,6.318792000000001e-06,0.0113690206589698,0.6143244667517045,15.0,-20.76,0.001416
656,7,0,25,40,9,129,0.0258,6.187896000000001e-06,0.010729256157875,0.6754817841044134,13.0,0.06,0.001416
657,7,0,25,40,9,131,0.0262,6.129864000000001e-06,0.010381609406948,0.7147124261260631,12.0,0.0,0.001404
658,7,0,25,40,9,132,0.0264,6.099120000000001e-06,0.0108662267231941,0.6491118200957275,8.0,0.0,0.001404
659,7,0,25,40,9,133,0.0266,6.065208000000001e-06,0.01060996265316,0.6770610848611941,9.0,-0.06,0.001392
660,7,0,25,40,9,91,0.0182,7.064856000000001e-06,0.0157283712630271,0.3588770400539872,20.0,0.0,0.001524
661,7,0,25,40,9,92,0.0184,7.104888000000001e-06,0.0158583123908042,0.3550202804971873,17.0,0.0,0.001524
662,7,0,25,40,9,93,0.0186,7.129872000000001e-06,0.0161029297099113,0.3455268514733348,19.0,0.0,0.001524
663,7,0,25,40,9,95,0.019,7.133040000000001e-06,0.0172171634731292,0.3023857474472914,19.0,0.06,0.001524
664,7,0,25,40,9,115,0.023,6.473232000000001e-06,0.0155303409633636,0.3372632767304374,17.0,0.0,0.001452
665,7,0,25,40,9,116,0.0232,6.451416000000001e-06,0.014654901148796,0.3774845005532247,16.0,-0.06,0.00144
666,7,0,25,40,9,118,0.0236,6.383016000000001e-06,0.012826490778923,0.4875510437737475,16.0,0.06,0.00144
667,7,0,25,40,9,121,0.0242,6.283872000000001e-06,0.0128434613571167,0.4787105815329658,15.0,5.22,0.00144
668,7,0,25,40,9,122,0.0244,6.258456000000001e-06,0.0124771384091377,0.5051810855540314,15.0,0.0,0.00144
669,7,0,25,40,9,123,0.0246,6.233112000000001e-06,0.012395197271347,0.5098094818761277,16.0,0.0,0.00144
670,7,0,25,40,9,126,0.0252,6.144048e-06,0.0118924033598899,0.545915219453421,16.0,0.0,0.001416
671,7,0,25,40,9,129,0.0258,6.052968000000001e-06,0.0110741981477737,0.6202312755765019,15.0,0.0,0.001404
