src,actual_value,predicted_value,percentage_error
D:\records\Drop Impact on Rough Surfaces0\S3-W-25G-40cm-OG-1_C001H001S0002\S3-W-20G-40cm-OG-1_C001H001S0002000106.jpg,2.184048e-06,7.1267228853654945e-06,226.3079788248928
D:\records\Drop Impact on Rough Surfaces0\S2-W-20G-20cm-OR-1_C001H001S0001\S2-W-20G-20cm-OR-1_C001H001S0001000114.jpg,5.994432000000001e-06,7.515797060938015e-06,25.379636651779762
D:\records\Drop Impact on Rough Surfaces\S4-W-18G-40cm-OR2-1_C001H001S0001\S4-W-18G-40cm-OR2-1_C001H001S0001000108.jpg,3.867552e-06,4.668904656555273e-06,20.71989352839399
D:\records\Drop Impact on Rough Surfaces_2\SQ2-W-20G-40cm-R1-2_C001H001S0001\SQ2-W-20G-40cm-R1-2_C001H001S0001000098.jpg,2.9507760000000004e-06,6.930306240056568e-06,134.8638541202913
D:\records\Drop Impact on Rough Surfaces_2\SQ3-W-20G-40cm-R1-2_C001H001S0001\SQ3-W-20G-40cm-R1-2_C001H001S0001000097.jpg,1.12248e-05,8.231980722317285e-06,26.662562163091675
D:\records\Drop Impact on Rough Surfaces0\S5-W-20G-20cm-OR-1_C001H001S0001\S5-W-20G-20cm-OR-1_C001H001S0001000122.jpg,4.184928e-06,6.2192054776965516e-06,48.60961712355747
D:\records\Drop Impact on Rough Surfaces_2\SQ2-W-20G-40cm-R1-2_C001H001S0001\SQ2-W-20G-40cm-R1-2_C001H001S0001000103.jpg,3.0316320000000004e-06,7.524172313217609e-06,148.1888406382308
D:\records\Drop Impact on Rough Surfaces0\S3-W-20G-20cm-OR-1_C001H001S0001\S3-W-20G-20cm-OR-1_C001H001S0001000116.jpg,4.946040000000001e-06,6.1519210801282846e-06,24.380738532811776
